"id","zip_code","city","id_county"
"2708","3074","Sámsonháza","13"
"2709","8824","Sand","20"
"2710","6762","Sándorfalva","6"
"2711","7479","Sántos","15"
"2712","4176","Sáp","9"
"2713","4272","Sáránd","9"
"2714","3942","Sárazsadány","4"
"2715","7018","Sárbogárd","7"
"2716","7019","Sárbogárd","7"
"2717","7003","Sárbogárd","7"
"2718","7000","Sárbogárd","7"
"2719","7014","Sáregres","7"
"2720","9813","Sárfimizdó","18"
"2721","8944","Sárhida","20"
"2722","2523","Sárisáp","12"
"2723","5720","Sarkad","3"
"2724","5731","Sarkadkeresztúr","3"
"2725","8051","Sárkeresztes","7"
"2726","8125","Sárkeresztúr","7"
"2727","8144","Sárkeszi","7"
"2728","8391","Sármellék","20"
"2729","7781","Sárok","2"
